x,y,z
20,-70,-33
-20,49,26
-6,60,17
-21,-21,58
17,55,30
6,61,16
60,2,7
53,31,5
2,58,33
-46,-8,-22
-52,-11,-27
-28,-28,-18
-31,-15,-19
31,-14,-25
-20,-88,23
16,-85,13
-47,-69,-4
32,-49,-6
-43,-41,60
23,-48,55
-55,-23,28
34,-4,1
-43,-20,12
-39,6,-27
-40,-22,9
-46,-2,-13
-46,10,-24
61,-11,12
59,11,-4
65,-14,-3
