x,y,z,zstat
-40,4,30,6.05
-54,18,26,5.17
-42,20,-12,5.01
-2,22,54,5.72
-8,44,44,4.85
-8,44,40,4.79
-58,-46,-10,5.89
-34,-28,-18,5.73
-46,-54,-18,5.4
