x,y,z
40,-41,-23
-39,-51,-19
50,-61,9
55,-50,12
49,-58,12
-63,-30,-7
-41,21,-31
-39,-60,38
-1,57,28
-6,42,-4
8,43,53
21,20,49
5,53,46
0,35,53
31,58,9
-16,28,55
-18,35,43
-2,63,8
33,3,34
-45,6,51
-48,28,-5
-34,-73,-41
26,-42,-8
-24,-45,-8
16,-84,-7
-5,-87,-3
30,-76,21
-22,-82,18
20,-67,58
-9,-68,56
62,-15,25
58,6,25
-31,13,12
-39,31,15
41,-61,-11
-41,-66,-7
23,-62,-12
-24,-63,-12
7,-81,0
31,-80,7
-22,-85,7
34,-48,55
-30,-54,53
-55,-30,37
59,-18,27
-45,-31,21
-44,30,17
