x,y,z,zstat
-28,-82,14,3.89
50,-60,-8,3.94
24,-68,56,3.98
-48,-64,-12,4.52
-38,26,18,3.15
-26,-52,-14,3.71
-44,6,28,3.26
18,-94,8,5.52
46,-76,-2,4.5
-20,-88,10,3.03
