x,y,z,zstat
-42,33,-15,3.88
-60,-15,9,5.65
57,-15,6,5.91
-54,30,12,6.15
-42,-63,-18,5.87
36,-60,-18,5.87
-3,12,60,4.68
30,33,-12,4.01
-12,-12,12,3.72
-42,-57,9,2.67
-36,27,12,2.99
-51,-54,51,3.46
-48,3,-18,2.47
-48,12,15,2.48
-39,-27,42,2.95
