x,y,z,zstat
-39,12,24,7.16
-48,-36,3,7.44
-18,-87,-15,5.13
36,-75,-21,6.14
-42,-51,-33,7.17
60,-30,9,5.5
-54,33,3,4.5
-60,-21,-3,7.6
-42,-48,-33,6.25
