x,y,z,tstat
-19,-68,-52,-7.52613
-18,-95,-1,11.267
4,10,-15,-6.27017
36,-36,43,-11.1046
9,46,-5,-5.88446
-47,-73,5,-5.44242
-6,3,60,6.74775
22,-4,48,-5.66058
