x,y,z,zstat
-54,-38,7,6.73
54,-12,-7,5.33
-36,26,-1,5.47
36,29,-4,4.43
-6,20,46,4.4
22,-64,9,3.71
-22,-68,6,3.48
-53,-37,6,6.59
56,-12,-7,5.12
33,20,-1,5.00
22,-64,11,4.92
-5,20,40,5.03
-28,-34,-13,3.80
-36,-62,50,6.23
36,-62,45,5.03
-6,-59,39,4.52
-30,17,49,4.45
30,23,49,3.95
