x,y,z
34,-70,36
2,-62,40
6,52,42
44,-54,30
52,-52,2
30,-48,46
20,-50,-4
2,32,38
44,-64,6
48,28,14
22,-32,-10
38,4,32
34,-50,-10
46,-50,-8
44,16,24
32,-66,-6
-24,-68,44
0,28,50
-38,14,42
-38,2,34
-30,-52,46
-40,-56,32
-42,16,22
-22,-34,-8
-32,18,0
-40,22,4
-38,-52,-6
-38,-52,14
