x,y,z,zstat
-44,17,-18,3.29
-47,11,-6,4.52
-59,-10,9,5.46
-44,-4,-6,4.45
-44,-16,9,5.05
-53,-43,15,5.05
-41,-40,21,4.3
-47,8,3,4.55
-41,14,6,3.62
-32,14,-3,3.71
-35,11,12,3.87
-56,-52,24,3.84
-5,20,42,4.53
-20,-1,9,3.66
-32,5,33,3.51
52,8,-6,4.02
58,-1,0,4.66
46,-1,-3,4.14
49,-16,3,4.67
34,-22,12,4.78
58,-28,9,4.37
10,2,39,3.95
4,-70,18,3.83
10,-58,-39,3.59
