x,y,z,zstat
-39,24,24,5.25
-39,-66,-18,4.98
33,-84,-12,4.72
-57,-39,6,4.5
24,-99,0,4.28
-6,21,54,4.11
-36,-6,-33,4.09
21,-69,6,4.06
36,27,-6,3.98
