x,y,z,zstat
-6,28,30,8.71
12,28,36,8.29
38,22,-6,8.74
-4,18,48,9.65
-32,24,-4,9.37
-50,-6,24,9.61
-48,-12,36,9.46
58,-2,20,8.97
48,-6,32,9.77
30,-4,-36,7.48
14,-18,0,7.38
12,-24,-12,9.63
-12,-26,-12,9.08
42,-22,10,7.2
54,-28,4,8.26
-56,-42,10,7.67
32,-64,-50,8.16
20,-76,-42,7.78
40,-74,-12,11
-34,-88,-10,11
-32,-90,-4,11.3
32,-92,-4,11.5
