x,y,z,zstat
48,-70,28,3.96
0,50,28,3.79
-6,-52,25,3.52
-30,14,13,4.33
-39,29,22,4.17
-45,-4,31,4.04
-42,-34,43,3.85
-54,-55,-2,3.78
-27,-52,73,3.77
-6,14,49,3.67
36,17,10,3.29
60,-49,16,3.89
48,-52,-2,3.87
-1,-52,16,3.63
-36,11,55,4.14
-39,47,1,3.87
0,23,52,3.74
-42,-58,46,3.44
