x,y,z,zstat
-2,14,52,8
-44,10,34,8
-56,14,-6,8
-12,56,-8,8
34,22,-4,8
-18,-102,-2,8
-12,2,6,8
18,-98,0,7.18
-2,-24,16,7.13
10,0,6,6.4
-52,-74,52,6.92
-4,34,56,6.45
-54,36,0,6.27
