x,y,z,zstat
-42,27,0,6.4
-42,18,9,6.4
-6,9,63,6.16
-12,6,0,6.16
36,18,-3,4.49
-63,-48,0,4.43
-18,-48,-3,3.75
-42,27,0,5.15
-48,24,15,5.15
-48,18,27,5.15
-3,6,63,4.39
-6,36,48,4.47
-54,27,-3,4.26
-54,24,12,4.26
-12,9,9,3.91
-63,-36,-6,3.81
