x,y,z,zstat
-50,-68,0,6.99
54,-74,0,6.99
-48,-24,36,5.8
32,-48,58,4.35
42,-52,-18,5.05
4,-56,28,5.6
42,20,-32,5.31
-22,-8,-14,5.01
18,-6,-12,4.97
40,-72,38,4.14
