x,y,z,zstat
-50,-38,4,8
-60,-24,2,8
-60,-10,-4,8
62,-16,0,8
50,-38,6,8
58,-38,8,8
-8,-100,-4,8
-30,-98,2,8
-12,-104,14,8
14,-102,14,8
24,-102,2,7.69
32,-94,-8,7.04
-58,-56,-10,8
24,-82,-20,8
32,-72,-24,7.61
44,-62,-22,6.37
-8,-36,6,7.42
2,-76,-20,7.21
-36,-44,-24,7.18
6,60,-4,6.7
-4,60,-6,6.66
24,58,-6,6.44
-42,-68,-14,6.35
52,12,-22,6.21
-22,60,0,5.99
-50,14,36,5.91
