x,y,z,zstat
-42,21,18,5.06
-45,24,10,5.01
-24,-12,42,3.74
27,-12,42,3.85
-27,-53,42,3.6
-39,-33,35,3.37
-39,-56,-10,4.95
-36,-65,-12,5.47
36,-56,-17,4.91
-15,-91,-8,5.54
33,-79,-8,4.82
-6,28,26,5.19
9,22,35,4.66
45,-16,20,3.22
-18,-9,-2,5.07
21,-6,-2,4.37
-15,-15,1,4.7
18,-15,-2,4.67
