Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)	FSN
1	36.0	22.0	-6.0	7.493875564714392	2872	80.0
2	-4.0	16.0	50.0	7.433176021369834	5736	219.0
3	-52.0	-38.0	4.0	7.046276082980737	2504	121.0
4	-44.0	18.0	24.0	6.4539349198006155	10232	182.0
5	40.0	-52.0	-18.0	4.883376900778496	1464	24.0
6	-40.0	-52.0	-20.0	4.843973064495309	3312	34.0
7	36.0	-90.0	-6.0	4.2385050931241235	1856	58.0
8	-38.0	36.0	6.0	3.3852291515695727	88	1.0
