43.7945169407,-43.899586976,-26.5387917742,p
-40.5522665102,-54.6368028512,-20.208680808,p
54.8240136501,-62.2424913885,10.5592149123,p
60.1482424165,-50.3220137829,12.8439707144,p
53.7683149807,-58.8196845391,13.6298947619,p
-66.1826976862,-31.5569627017,-8.4674190015,p
-43.0736463026,20.4557402579,-39.8596109183,p
-40.0458301189,-59.2706852668,43.7405236783,p
0.0151524734,63.8325970897,21.8045417959,p
-5.5327710855,45.1982700385,-12.255405782,p
9.8944757823,51.2280923117,50.6281190561,p
23.8443010604,26.648313233,48.0684181376,p
6.5912651906,61.1833148291,42.024784982,p
1.3773479829,42.7176165575,51.439666054,p
34.0494645751,63.4672905898,0.2554368936,p
-15.676021056,35.3846534065,54.4809156694,p
-17.9400524003,41.7457434493,40.5910590301,p
-1.2423971706,68.4573801607,-0.8728652807,p
36.6109140939,7.4642825384,32.8026023619,p
-46.6113626213,11.593376339,52.3706648091,p
-50.3668095366,30.0400046834,-11.584398588100001,p
-35.3038766922,-79.7523255782,-42.6971062636,p
28.9619692677,-43.7616867441,-9.6519788561,p
-24.4561622027,-47.254032606,-8.7455093982,p
18.4505138501,-88.1511416723,-4.6934029652,p
-3.9451735034,-91.1151638122,0.2732191433,p
33.6105146495,-77.2036921719,25.439979202,p
-21.957718697,-84.1380523804,23.3142032358,p
23.1944892777,-64.5815303647,65.7634970936,p
-7.8074762104,-65.9959354318,64.0078190581,p
67.5972476915,-12.1543357675,24.055151554,p
63.2397036194,10.0256006116,22.2451275641,p
-32.0008032546,15.7440104268,8.3619479084,p
-40.5960913001,34.9831043368,10.192829591,p
45.0414177929,-64.0133701312,-11.4839089655,p
-42.5309622379,-69.4827586521,-5.5585230716,p
25.802314016,-65.2716848964,-12.2725918704,p
-24.4179353228,-66.6300093208,-11.5818206371,p
8.8790525702,-84.4369035647,2.9114541169,p
34.5793157044,-82.6261969299,10.2707963169,p
-22.0366978978,-88.2525642294,11.3929639996,p
38.0548877591,-44.6581513813,60.5763662763,p
-30.3282880583,-51.5836787655,59.7122493701,p
-57.2704689459,-27.7365789563,40.1786289368,p
64.4198441888,-15.1744385502,26.5753243937,p
-46.7126632974,-30.1005659375,22.4124043609,p
-45.9186135803,34.0650104966,12.5613615819,p
