13.8065769641,-46.7065976859,33.4812405523,p
53.9859343646,-38.1084466864,50.2533735551,p
-41.6949707367,18.7531845486,27.5139051194,p
53.6605544338,-4.8124732868999995,-6.3993595623,p
-24.6583619712,-78.8724217662,-6.0915721589,p
34.9235784614,-87.2210745362,-2.3956597,p
4.2265487263,-31.7669828157,44.4940823641,p
64.2888877907,-37.6140510376,14.4071608049,p
-37.4520451882,-59.209366286,-8.039700669,p
-44.843139132,-11.9929720376,-5.111792316,p
37.6663699727,-61.7684624869,-10.6952996896,p
18.2422222206,-65.5592101572,32.8924475465,p
