-42.0,26.0,0.0,13.734505736758635
-48.0,21.0,12.0,13.734505736758635
-45.0,21.0,24.0,13.734505736758635
-6.0,24.0,42.0,9.92298562193858
-12.0,6.0,9.0,7.65534855812389
-63.0,-48.0,0.0,6.936054597901747
36.0,18.0,-3.0,6.665162534985338
-42.0,24.0,0.0,7.763383314507147
-48.0,24.0,10.0,7.763383314507147
-48.0,21.0,27.0,7.763383314507147
-3.0,9.0,63.0,6.060655457074976
-57.0,-48.0,3.0,3.818383900108858
33.0,21.0,0.0,3.7918120574863554
-50.0,21.0,10.0,6.533055099218733
-48.0,24.0,-3.0,6.533055099218733
-9.0,9.0,9.0,5.208799764270052
-9.0,6.0,72.0,5.177204158505819
-60.0,-42.0,-3.0,4.241596613420434
-42.0,-3.0,54.0,4.227596106094292
-42.0,-66.0,36.0,3.8584013784763536
