42.7579317113,-50.164768484,-24.8862675439,p
49.4664047423,-76.7060969975,2.9121161206,p
65.4625049856,-49.4895827553,9.3675173657,p
59.7348469903,-4.0798519034,-22.2548946815,p
12.2290224731,-58.7561839701,31.9449159173,p
-40.1714322707,-71.5580112208,22.4684155193,p
-49.2794372121,18.1579420719,-13.9460232414,p
42.5802450585,27.0821499375,-16.8647866615,p
6.5707865617,62.0693961742,39.720310367,p
-4.8468051951,1.7829809739,59.4048644187,p
-4.5460854196,48.7489979179,-21.4861157172,p
46.4079815896,-3.7963736122,51.4776236035,p
23.9727021673,3.8136739503,55.5579267164,p
29.5030146293,-64.5136621512,52.3029400503,p
-9.9981940471,-65.4653103351,57.2972819626,p
31.377815663,-81.5023346441,11.3285202006,p
-27.2805822744,-87.2566229737,24.7520776682,p
49.316842412,-57.3863298759,-8.7431821905,p
-46.8125987845,-62.9926012016,-3.8232258527000003,p
20.6078515454,-91.2248947724,-3.3452088592,p
-12.5025759663,-93.4525233701,-1.6628679715999999,p
28.9870896981,-41.3042215533,-5.3975572244,p
-25.4550667866,-49.8330163278,-0.7113527202000001,p
-21.7042616727,-71.6231912081,61.2937636602,p
35.9004853789,-49.2432355107,56.524831394,p
-13.407005819,-98.3470998769,17.7163979822,p
-56.2190707807,-32.3024555886,36.088659629,p
44.0018972484,-62.6197144097,-7.128043959,p
-42.5335562558,-59.6234446696,-1.9245247367,p
13.1286741644,-84.6682820063,-0.4635558571,p
24.7277068437,-77.4235409436,-17.9323576464,p
-27.6006632214,-77.3946121455,-12.8729099314,p
36.706891168,-91.5009617567,5.4146217744000005,p
-34.9701438552,-1.5952662834,32.1541836804,p
