-42.0,21.0,18.0,10.581078030413623
-45.0,24.0,10.0,10.310308397827965
-24.0,-12.0,42.0,5.507952640982378
27.0,-12.0,42.0,5.806747020010834
-27.0,-53.0,42.0,5.150052677205071
-39.0,-33.0,35.0,4.6107034618104965
-39.0,-56.0,-10.0,9.996169693854556
-36.0,-65.0,-12.0,13.154650978326218
36.0,-56.0,-17.0,9.79303546090371
-15.0,-91.0,-8.0,13.666253000820275
33.0,-79.0,-8.0,9.353523410315113
-6.0,28.0,26.0,11.32574464327859
9.0,22.0,35.0,8.627941977162301
45.0,-16.0,20.0,4.287781651323943
-18.0,-9.0,-2.0,10.636242751229421
21.0,-6.0,-2.0,7.472109438117812
-15.0,-15.0,1.0,8.802990626400675
18.0,-15.0,-2.0,8.671322178018192
