x,y,z,zstat
-42,26,0,7.81
-48,21,12,7.81
-45,21,24,7.81
-6,24,42,6.66
-12,6,9,5.73
-63,-48,0,5.38
36,18,-3,5.24
-42,24,0,5.78
-48,24,10,5.78
-48,21,27,5.78
-3,9,63,4.91
-57,-48,3,3.44
33,21,0,3.42
-50,21,10,5.17
-48,24,-3,5.17
-9,9,9,4.4
-9,6,72,4.38
-60,-42,-3,3.75
-42,-3,54,3.74
-42,-66,36,3.47
