x,y,z,zstat
-42,18,-8,4.3
-38,34,12,4.2
-46,4,30,4.1
36,8,30,3.8
-2,10,50,4.5
32,-68,56,3.3
-38,-94,-4,4.1
20,-96,4,4.7
