x,y,z,zstat
-48,30,-3,5.42
-48,21,9,5.42
-9,42,45,5.19
-63,-24,0,4.51
-3,30,-15,4.31
-9,0,27,3.94
-15,0,-3,3.2
30,9,-18,3.74
-48,27,0,5.34
-51,24,18,5.34
-9,48,45,4.23
18,-39,27,3.9
-6,39,21,5
-12,6,0,5
-63,-48,-6,4.19
-18,45,42,4.08
-48,39,3,3.04
6,-66,57,4.33
60,-57,-6,4.25
-36,-78,33,4.22
-51,-72,21,4.22
