x,y,z,zstat
39,-13,-6,4.01
51,-1,-14,3.84
-21,-22,-18,3.52
-51,-1,-10,3.77
-57,-16,-2,3.61
-12,-1,46,3.68
21,-88,30,3.61
30,-70,22,3
-30,23,-2,3.31
-39,38,6,3.23
-42,20,-10,3.1
39,-19,54,3.18
