x,y,z,tstat
-50,-32,6,12.25
56,-16,8,11.33
-8,-14,18,8.28
-4,4,50,8.63
-2,-58,-4,4.59
32,20,12,6.56
-2,-94,8,4.97
-26,-2,-16,5.07
32,-4,-28,5.15
58,-38,48,-7.55
-56,-10,32,-8.56
-38,-76,8,-6.16
26,26,42,-6.12
-32,26,38,-5.59
16,-76,38,-5.57
