x,y,z,zstat
30,-45,-9,7.75
30,-63,-6,5.95
33,-81,9,6.25
-27,-48,-9,7.75
-27,-90,9,5.95
-24,-84,-9,5.77
39,-51,-15,7.75
42,-81,-9,6.5
-39,-60,-15,6.42
-39,-84,-3,6.31
