Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)	FSN
1	42.0	-52.0	-20.0	4.992670222588253	3408	3.0
2	24.0	-92.0	-4.0	4.949647190360688	1800	6.0
3	-40.0	-52.0	-20.0	4.71162874518833	2720	7.0
