Cluster ID,mean,count,std,se,ci_lower,ci_upper
1,7.600,10,6.653,2.104,3.476,11.724
2,5.300,10,1.252,0.396,4.524,6.076
3,10.900,10,12.819,4.054,2.955,18.845
