Cluster ID,mean,count,std,se,ci_lower,ci_upper
1,23.400,10,3.864,1.222,21.005,25.795
2,62.500,10,11.872,3.754,55.142,69.858
3,64.500,10,15.785,4.992,54.717,74.283
4,31.100,10,15.466,4.891,21.514,40.686
