Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)	FSN
1	-2.0	8.0	60.0	6.6081311199134145	3480	24.0
2	-54.0	-42.0	4.0	6.5958726646479615	2760	80.0
3	-48.0	22.0	10.0	6.449422332930406	6048	80.0
4	36.0	22.0	-6.0	5.7442240552857395	1888	24.0
