x,y,z,tstat
-20,-100,-8,13.59
0,12,54,11.96
18,-100,-6,10.5
22,-82,-28,9.26
-36,-14,62,8.46
-46,20,2,8.44
-56,18,22,8.32
-34,-4,52,7.97
4,-70,-22,7.28
-20,-32,0,7.27
-36,-26,52,7.22
-8,-60,-18,6.94
16,-2,32,6.74
