x,y,z
-27,-67.9,-10.7
-0.4,-39,37.7
-37.4,9.2,31.2
53.1,-39.6,31.2
57.2,-36,16.4
23.5,-71.5,-11.8
13.2,-86.9,-7.7
33.8,-83.8,-6.2
-2.1,32.7,41
35.7,-47.8,-17
1.8,9.4,-4.1
