x,y,z
38,-40,-17
-40,-40,-17
58,-40,-9
-58,40,-9
50,-53,-17
-52,-56,-17
-58,-7,5
-40,-20,-4
-1,-25,24
29,-35,42
-24,-33,51
-4,39,53
-39,3,55
5,19,-19
60,21,20
