x,y,z
39,-47,-22
45,-74,1
60,-49,9
55,-4,-16
10,-59,28
-39,-70,18
-47,17,-8
39,25,-9
5,54,44
-6,-4,57
-5,46,-12
42,-9,50
21,-2,54
26,-66,46
-11,-67,50
28,-79,8
-27,-85,19
45,-55,-8
-45,-60,-5
18,-87,-6
-13,-89,-5
26,-40,-4
-25,-48,-1
-22,-73,53
32,-52,51
-14,-95,12
-54,-34,33
40,-60,-7
-41,-57,-3
11,-81,-3
22,-73,-18
-27,-73,-14
33,-88,2
-34,-5,32
