x,y,z,zstat
-51,5,41,7.35
33,23,-1,5.43
-6,23,43,6.47
-39,-36,-16,5.94
3,-69,12,5.56
-21,-29,-1,4.51
-33,29,-6,7.37
33,26,-4,5.86
-6,17,43,7.09
-51,-41,6,6.66
15,-69,12,6.27
-23,-44,55,4.75
42,-6,58,4.53
-54,-19,22,3.81
53,-9,50,3.75
-24,-26,1,4.45
9,-18,-9,3.7
-30,-65,42,6.23
-30,17,54,4.67
-6,-35,29,4.6
