x,y,z
42,-68,-19
-15,56,5
14,-80,38
-14,-76,51
6,-41,25
29,-75,31
-22,-79,13
21,-85,-5
-22,-85,-3
13,-86,-6
-19,-94,-5
19,-30,-18
-28,-53,-6
29,-53,49
-21,-59,43
-23,-82,37
31,-70,20
18,-94,-5
-23,-86,28
-9,-97,-15
41,-72,-12
-40,-60,-17
22,-39,-14
-21,-79,-24
