x,y,z,tstat
-51,10,38,14.11
-44,3,29,24.19
-32,25,1,13.84
53,27,28,13.91
40,-3,50,8.97
46,9,25,20.73
34,21,-4,15.79
2,20,37,16.95
-2,30,41,19.1
-46,-65,-10,27.41
-38,-53,-18,18.65
-28,-89,-1,19.34
48,-29,46,7.33
-10,-19,6,10.79
6,-19,6,9.71
4,-10,4,9.18
-32,-74,-38,6.21
