x,y,z,zstat
-48,32,3,5.34
53,19,21,4.09
-30,7,50,4.07
-8,16,55,6.05
-50,2,48,3.38
55,-9,56,3.29
-40,-44,-12,6.79
40,-28,-17,5.17
-27,-73,48,2.77
42,-66,28,4.14
